set1_id	set1_orgname	set2_id	set2_orgname	similarity	id_match
60309377	Xi'an Shenxin Kechuang Information Technology Co., Ltd., Xi'an	60310744	Xi'an Shenxin Kechuang Information Technology Co., Ltd, Xi'an	1.0	False
60310744	Xi'an Shenxin Kechuang Information Technology Co., Ltd, Xi'an	60309377	Xi'an Shenxin Kechuang Information Technology Co., Ltd., Xi'an	1.0	False
60291713	Mohammed VI University of Health Sciences, Casablanca	60170292	Mohammed VI University of Sciences and Health, Casablanca	1.0	False
60291713	Mohammed VI University of Health Sciences (UM6SS), Casablanca	60170292	Mohammed VI University of Sciences and Health - UM6SS, Casablanca	1.0	False
60309376	Xi'an Xiangteng Microelectronics Technology Co., Ltd., Xi'an	60310746	Xi'an Xiangteng Microelectronics Technology Co.,LTD, Xi'an	1.0	False
60310746	Xi'an Xiangteng Microelectronics Technology Co.,LTD, Xi'an	60309376	Xi'an Xiangteng Microelectronics Technology Co., Ltd., Xi'an	1.0	False
60312533	Bodenseewerk Gerätetechnik GmbH, Uberlingen	60303884	Bodenseewerk Gerätetechnik Gmbh, Uberlingen	1.0	False
60321535	Mécanique Analytique Inc, Thetford Mines	60322681	Mécanique Analytique Inc., Thetford Mines	1.0	False
60307965	Princeton Lightwave Inc, Cranbury	60018670	Princeton Lightwave, Inc., Cranbury	1.0	False
60322681	Mécanique Analytique Inc., Thetford Mines	60321535	Mécanique Analytique Inc, Thetford Mines	1.0	False
60303885	Bodenseewerk Perkin-Elmer Gmbh, Uberlingen	60072364	Bodenseewerk Perkin-Elmer GmbH, Uberlingen	1.0	False
60295380	CGeneTech (Suzhou, China) Co., Ltd., Suzhou	60298518	Cgenetech (Suzhou, China) Co., Ltd., Suzhou	1.0	False
60298518	Cgenetech (Suzhou, China) Co., Ltd., Suzhou	60295380	CGeneTech (Suzhou, China) Co., Ltd., Suzhou	1.0	False
60303884	Bodenseewerk Gerätetechnik Gmbh, Uberlingen	60312533	Bodenseewerk Gerätetechnik GmbH, Uberlingen	1.0	False
60297639	NoNO Inc., Toronto	60311110	Nono Inc., Toronto	1.0	False
60311110	Nono Inc., Toronto	60297639	NoNO Inc., Toronto	1.0	False
60319409	Hyundai Electronics Industries Co Ltd, Icheon	60094599	Hyundai Electronics Industries Co., Ltd., Icheon	1.0	False
60303011	Liuzhou Taiqi Mechanical and Electrical Engineering Co.,Ltd., Liuzhou	60301838	Liuzhou Taiqi mechanical and Electrical Engineering Co.,Ltd., Liuzhou	1.0	False
60301838	Liuzhou Taiqi mechanical and Electrical Engineering Co.,Ltd., Liuzhou	60303011	Liuzhou Taiqi Mechanical and Electrical Engineering Co.,Ltd., Liuzhou	1.0	False
60297815	Viral Logic Systems Technology Corp, Seattle	60294283	Viral Logic Systems Technology Corp., Seattle	1.0	False
60294283	Viral Logic Systems Technology Corp., Seattle	60297815	Viral Logic Systems Technology Corp, Seattle	1.0	False
60288001	Higher Colleges of Technology, Abu Dhabi	60074310	Higher Colleges of Technology Abu Dhabi, Abu Dhabi	1.0	False
60297862	Abgenix Inc, Fremont	60008581	Abgenix, Inc., Fremont	1.0	False
60296831	Klox Technologies, Inc., Laval	60298655	Klox Technologies Inc., Laval	1.0	False
60302970	Jiangxi Haoze Optical Film Technology Co.,Ltd., Shangrao	60302258	Jiangxi Haoze Optical Film Technology Co.,Ltd, Shangrao	1.0	False
60298655	Klox Technologies Inc., Laval	60296831	Klox Technologies, Inc., Laval	1.0	False
60302258	Jiangxi Haoze Optical Film Technology Co.,Ltd, Shangrao	60302970	Jiangxi Haoze Optical Film Technology Co.,Ltd., Shangrao	1.0	False
60304667	Rheogene Inc, Norristown	60304081	RheoGene, Inc., Norristown	1.0	False
60304081	RheoGene, Inc., Norristown	60304667	Rheogene Inc, Norristown	1.0	False
60288452	Oden Institute for Computational Engineering and Sciences, Austin	60150620	Oden Institute for Computational Engineering & Sciences, Austin	1.0	False
60304553	Faeth Therapeutics, Inc., Austin	60327420	Faeth Therapeutics Inc., Austin	1.0	False
60327420	Faeth Therapeutics Inc., Austin	60304553	Faeth Therapeutics, Inc., Austin	1.0	False
60298229	Miradry, Inc., Newport Beach	60298228	Miradry, Inc, Newport Beach	1.0	False
60298228	Miradry, Inc, Newport Beach	60298229	Miradry, Inc., Newport Beach	1.0	False
60327208	TOPLAB GmbH, Planegg	60327239	TOPLAB, GmbH, Planegg	1.0	False
60327239	TOPLAB, GmbH, Planegg	60327208	TOPLAB GmbH, Planegg	1.0	False
60292314	Idea Bioprocess Technology SRLS, Bergamo	60292667	IDEA BIOPROCESS TECHNOLOGY srls, Bergamo	1.0	False
60292667	IDEA BIOPROCESS TECHNOLOGY srls, Bergamo	60292314	Idea Bioprocess Technology SRLS, Bergamo	1.0	False
60313578	Chan Zuckerberg Biohub San Francisco, San Francisco	60112729	Chan Zuckerberg Biohub, San Francisco	1.0	False
60301410	Hospira, Inc., Lake Forest	60314905	Hospira Inc., Lake Forest	1.0	False
60314905	Hospira Inc., Lake Forest	60301410	Hospira, Inc., Lake Forest	1.0	False
60304143	SPINNER GmbH, Munich	60304697	Spinner GmbH, Munich	1.0	False
60304697	Spinner GmbH, Munich	60304143	SPINNER GmbH, Munich	1.0	False
60313385	Alpha Metals Inc, Jersey City	60075463	Alpha Metals, Inc., Jersey City	1.0	False
60302653	IntraBio Ltd, London	60294485	Intrabio Ltd, London	1.0	False
60298098	Lanzhou Institute of Biological Products Co., Ltd., Lanzhou	60138287	Lanzhou Institute of Biological Products Co., Ltd, Lanzhou	1.0	False
60294485	Intrabio Ltd, London	60302653	IntraBio Ltd, London	1.0	False
60306356	Honeywell, Spol. S R.O., Prague	60305137	Honeywell, spol. s r.o., Prague	1.0	False
60305137	Honeywell, spol. s r.o., Prague	60306356	Honeywell, Spol. S R.O., Prague	1.0	False
60340799	GeneSpector s.r.o., Prague	60294098	Genespector s.r.o., Prague	1.0	False
60295346	Atossa Genetics, Inc., Seattle	60312359	Atossa Genetics, Inc, Seattle	1.0	False
60313236	Genesis Research and Development Corporation Ltd, Auckland	60100563	Genesis Research & Development Corporation Ltd, Auckland	1.0	False
60312359	Atossa Genetics, Inc, Seattle	60295346	Atossa Genetics, Inc., Seattle	1.0	False
60313224	Genelabs Technologies Inc., Redwood City	60303293	Genelabs Technologies, Inc., Redwood City	1.0	False
60294098	Genespector s.r.o., Prague	60340799	GeneSpector s.r.o., Prague	1.0	False
60303293	Genelabs Technologies, Inc., Redwood City	60313224	Genelabs Technologies Inc., Redwood City	1.0	False
60305934	Catexel Technologies Limited, London	60312947	CATEXEL Technologies Limited, London	1.0	False
60312947	CATEXEL Technologies Limited, London	60305934	Catexel Technologies Limited, London	1.0	False
60319177	AgBiome, Inc, Research Triangle Park	60112111	AgBiome, Inc., Research Triangle Park	1.0	False
